,ulica,numer,nr_lokalu,powierzchnia_uzyt,liczba_pokoi,piętro,lok_cena_brutto,cena_za_m2,srednia_budynek,srednia_cena_ulica,srednia_cena_dzielnica,near_100,near_300,near_500,dist_centrum,dzielnica,coordinates,rodzaj_rynku,data,rok
1733,JANA KANTEGO FEDEROWICZA,25,16_LOK,54.65,3.0,2.0,807946,14784,14854,14922,14775,15227,15402,15267,6853,Dzielnica VIII Dębniki,"(50.013690546077534, 19.879754941289313)",pierwotny,2025-06-18,2025
1734,JULIUSZA LEA,25,5_LOK,56.85,3.0,3.0,807270,14200,14837,16256,16968,15618,16054,16015,1824,Dzielnica V Krowodrza,"(50.070918783574555, 19.917611336647678)",pierwotny,2025-07-01,2025
1735,WAŁOWA,15,3_LOK,26.66,1.0,2.0,482500,18098,18680,17846,14979,19879,16928,16437,2729,Dzielnica XIII Podgórze,"(50.04527064596124, 19.966897929854145)",wtorny,2025-06-12,2025
1736,STANISŁAWA STASZICA,8,9_LOK,32.94,2.0,1.0,590000,17911,18575,19239,19904,18787,16206,16830,1073,Dzielnica I Stare Miasto,"(50.07085830638023, 19.93289471812004)",wtorny,2025-06-10,2025
1737,MYŚLIWSKA,3A,3A_9_LOK,62.96,3.0,2.0,1037000,16471,15996,13300,14979,13341,14066,14740,3915,Dzielnica XIII Podgórze,"(50.04509891497185, 19.987015674961533)",wtorny,2024-04-03,2024
1738,TADEUSZA KOŚCIUSZKI,22,69_LOK,52.65,2.0,3.0,1055000,20038,22323,22461,18963,33929,19303,18315,1345,Dzielnica VII Zwierzyniec,"(50.05394147952174, 19.92515650595367)",pierwotny,2024-04-25,2024
1739,WACŁAWA LIPIŃSKIEGO,1A,76_LOK,61.54,3.0,4.0,940000,15275,17622,15775,14775,14347,14026,14055,3730,Dzielnica VIII Dębniki,"(50.0295711030249, 19.926110644920545)",wtorny,2024-04-24,2024
1740,TOPOLOWA,19,9_LOK,82.22,3.0,4.0,1192190,14500,12873,15945,17770,19816,18471,19019,1151,Dzielnica II Grzegórzki,"(50.06663030583467, 19.95352108223524)",wtorny,2024-04-26,2024
1741,GRZEGÓRZECKA,79C,44_LOK,62.59,3.0,6.0,945076,15099,15830,17583,17770,18145,17581,18375,2103,Dzielnica II Grzegórzki,"(50.05752964970864, 19.967604503310547)",pierwotny,2024-03-28,2024
1742,OSIEDLE CENTRUM C,6,10_LOK,48.55,3.0,3.0,580000,11946,14258,13763,12842,12225,12912,12847,7054,Dzielnica XVIII Nowa Huta,"(50.07500998698074, 20.0355945374813)",wtorny,2024-03-06,2024
